Channel,Region,Fresh,Milk,Grocery,Frozen,Detergents_Paper,Delicassen
2,2,1262,1294,7479,3173,9160,4424
2,2,1308,20813,14787,2558,2848,1184
1,3,1500,23318,8647,9885,3560,1846
1,2,283,24478,11145,9498,2332,1120
2,1,762,9613,17948,201,4186,498
2,3,1534,12334,20029,9005,1379,5538
2,1,1795,13073,19786,7797,4080,5272
2,1,936,2688,19867,6891,9339,4651
2,2,738,5125,7221,1730,5848,831
1,1,1056,19020,18323,9209,7906,147
1,1,484,543,15071,3757,8311,57
1,3,614,14380,20626,5839,1133,5762
1,2,1214,20304,6001,3313,8577,3010
2,1,908,4170,3838,4356,2157,4094
1,3,251,10846,14064,6745,404,5547
1,1,1700,3561,1620,3075,4710,1971
1,2,305,7689,9463,643,5650,225
1,2,552,24572,24847,6338,735,805
2,3,1554,19449,308,6603,9100,4354
1,2,1714,9975,18978,5313,3425,4527
1,2,1793,8825,12146,632,3078,373
1,1,691,9600,18963,2453,7884,83
1,3,1351,8002,19057,7472,6853,2569
1,2,1531,11345,22868,1795,8711,5765
2,2,1756,17885,7179,3539,9593,2257
1,3,1275,15225,21402,3583,4904,3236
2,2,1727,14362,21356,5837,7637,3600
1,3,1254,6993,24749,1069,454,3982
1,3,1379,16819,2985,9000,3518,222
2,3,1156,21340,20227,3834,4742,5879
1,1,1888,2150,14783,1837,3510,3368
1,1,336,5378,9044,1615,7373,775
2,2,1768,7433,6826,3107,1740,3695
2,1,1568,1393,8959,3526,5815,5520
2,1,212,4210,19691,6946,1489,1131
1,3,1469,7596,2405,9699,4003,4160
2,1,995,6207,16662,2749,2942,4396
2,3,1870,24150,20662,9789,6462,4823
1,1,396,23924,15242,2536,498,3487
2,1,1540,4761,14057,5126,9271,5097
1,3,993,22752,5072,3568,701,4166
1,1,1976,2226,7506,8921,9034,3367
1,1,133,11622,15400,2217,5536,4475
2,2,803,22630,16373,4999,1242,5081
1,1,618,3528,10252,6525,4922,5429
1,1,605,13974,19576,4729,501,2935
1,1,798,13303,17613,6105,1385,5192
1,1,949,1604,7757,1511,529,2985
2,3,1640,23488,13710,8123,5320,899
2,2,1203,13422,14590,9837,1553,4937
1,3,1405,23729,7326,7353,7629,2469
1,2,613,2582,14079,2803,5141,5684
1,2,1570,14332,7048,6801,1818,3001
2,3,514,3959,13102,9870,2617,2634
1,1,327,1653,7380,6849,9611,3617
1,3,913,10057,20682,5702,324,1121
1,1,1097,5609,12763,6136,4055,3423
1,1,635,11837,15907,8160,8229,2186
2,3,1505,3077,18328,1161,3968,2618
2,1,1476,22993,1828,8028,3126,3127
1,2,267,9780,15843,8858,6376,4957
2,3,235,16417,15285,394,2307,1530
2,2,906,7544,8151,2653,7354,5801
1,2,1992,19578,1554,4653,6431,5413
1,2,983,4084,12707,218,3383,3665
1,3,1677,2664,4979,6264,1779,2078
1,3,1678,10234,21732,6236,4607,594
1,3,525,22886,10639,9623,8992,1473
1,2,1096,18738,16129,7682,1284,5430
2,3,1632,13858,11310,5869,1751,5071
2,2,1770,3146,18371,8358,2376,1130
1,3,349,18326,9344,9507,1089,481
1,1,367,1667,11763,9786,6125,4058
1,1,315,5523,23971,4315,8429,500
1,2,1066,5680,4014,5233,6273,2858
1,1,1237,23220,23962,9602,1461,1693
1,2,1370,11246,24353,9925,270,706
1,3,1158,22761,16142,5061,1056,3674
2,1,408,1057,4804,1231,429,4634
1,1,1033,7508,20532,7253,6812,5517
2,1,564,16646,22429,5650,2943,3713
2,1,1109,22104,14659,8442,788,2186
1,2,361,22505,609,997,7171,2326
1,3,1872,12031,12543,3513,7236,2094
1,1,1687,15795,9146,6958,2788,1048
2,2,1201,5229,7119,6766,4551,4618
1,2,1403,14697,8651,2794,1984,1647
2,3,192,15836,5711,3235,8936,4184
2,1,564,18297,24637,5520,1709,5986
2,1,802,14065,15118,9958,7802,4378
2,1,488,8129,3887,9182,6833,4294
2,1,899,15331,4908,420,8328,2962
2,1,1132,19683,8168,463,497,1837
2,1,708,1050,564,9352,4082,1320
1,3,1253,8461,308,7329,685,5650
2,2,1690,11951,19149,9873,5588,1537
1,1,1495,5695,14100,6455,1352,3519
2,2,1822,8943,19168,1922,2085,4942
2,2,594,6254,17654,9118,5456,2116
2,3,1831,15825,11217,5923,9848,872
1,1,970,10476,5789,3267,591,3170
1,2,1806,6463,24917,6526,7080,1694
1,1,634,7272,6480,6856,2493,381
2,3,1613,14084,16298,7777,1358,2113
2,1,1183,17408,5576,5230,9725,5222
1,2,333,9798,15190,5971,2754,2847
1,1,901,21784,23855,720,2360,4960
1,1,327,8121,1435,2898,2353,2353
1,2,1218,10950,1598,1049,2007,823
1,2,1381,19997,2075,1221,4218,321
1,1,1308,24111,10004,2661,7292,925
2,1,1378,562,10487,2455,6741,3799
1,3,750,21220,8695,8224,3339,602
2,3,1712,19622,9547,8420,1563,3534
1,3,1400,11578,16302,5159,7636,1864
1,3,1685,21822,13942,3509,4446,5915
1,1,1623,6026,9698,1733,7873,1779
2,3,779,16413,5193,8614,5500,120
1,3,1611,5574,4776,1910,648,1792
1,2,1879,4350,7792,2047,1477,1751
1,1,1399,6215,19350,7620,1762,5728
1,2,1682,5138,109,1136,7871,4301
1,2,1692,9323,17602,9881,6594,5703
1,3,529,23153,1173,8446,9968,588
1,1,112,4333,3250,2588,6113,4957
2,1,1866,4892,1542,2207,2583,4969
1,1,1477,21349,12479,4980,306,170
1,2,1879,400,12403,172,8774,775
2,3,615,22034,11809,8446,6111,1808
2,2,875,3018,2469,5838,7654,4498
1,2,174,165,17474,9574,2881,4963
1,2,1719,13141,19653,2208,5610,5569
2,1,615,11482,13765,3748,1119,4075
2,2,444,13822,23972,9423,7476,2931
1,2,1302,17759,14122,8098,4137,5512
1,1,885,13373,9165,6490,1936,440
2,3,1859,1610,20085,8530,7384,3724
1,2,203,9416,9419,1786,2188,5610
1,1,693,14411,7545,7713,2774,5102
1,1,1796,4004,23815,6388,5308,328
1,1,606,14024,11205,2181,1207,5263
2,2,1923,20496,17633,4069,1534,1033
1,3,726,4605,11035,4099,6977,1318
2,1,1780,13243,6155,4432,7728,4141
1,3,363,19134,22240,5960,7370,3614
1,1,1971,11624,23807,7738,9214,1888
1,1,1614,8256,9637,1264,6931,716
1,1,525,22605,4568,1933,7002,2036
1,2,620,2634,8880,1283,7525,2773
2,1,1563,5385,8250,6859,2804,2133
2,3,1393,2222,21845,1544,5953,4835
2,1,1493,21117,7199,3421,5124,2129
1,3,1989,3771,20608,6890,6484,5213
2,1,1568,23820,13310,9821,8676,1470
2,3,660,18027,14007,6877,6989,104
1,3,1951,1133,5248,6535,5715,3409
1,1,720,7829,506,3323,9128,5953
1,2,347,2765,9313,680,2412,4777
2,2,217,24518,21896,4141,5593,3839
2,1,1540,7833,11641,8245,5955,2822
2,1,1274,19783,14205,7728,3199,302
2,3,571,24409,13922,4092,3687,3961
1,1,1798,12549,4444,4443,5688,2761
2,1,1061,10009,9421,8789,8463,5393
1,2,644,17242,11722,439,7887,5995
1,2,1324,20033,16515,3978,1433,2321
2,3,1068,21782,11618,5896,855,5568
1,2,1529,10785,7004,9627,5708,1501
1,2,1475,9522,23159,9338,2211,1682
2,1,1903,786,21464,7999,7757,3092
2,2,1538,18633,17755,1029,5846,3679
2,3,109,6435,11155,4662,5699,5056
1,3,1930,4006,12834,6958,477,4299
1,3,102,17284,4891,5777,8359,282
1,1,1848,3321,7569,5022,9802,3544
2,3,1237,15122,8834,1306,7946,4385
2,3,1845,20283,13759,2690,3571,5289
1,3,1189,6955,12223,1371,1505,313
1,2,1949,628,9474,1636,7811,2092
1,2,1189,7986,18782,6237,7318,2354
1,3,1823,23735,23960,6255,9680,3604
2,2,1571,14305,11747,609,9262,5066
2,2,1623,19369,1517,663,8668,4624
2,1,1826,16635,19803,6631,2247,187
2,1,1814,24592,16453,5074,5018,1428
1,1,1417,3558,13363,372,8637,5503
2,1,775,2336,20087,2649,3164,1787
2,1,322,23426,12527,2512,762,2225
1,3,1802,17691,11481,5204,7881,4126
2,1,465,17511,23028,9362,1050,2037
1,1,1875,8859,23990,8602,1762,1435
1,2,1921,1399,21589,855,820,1491
1,1,293,9904,19566,8372,7606,4771
1,2,484,7238,24080,6424,812,5964
2,1,1806,6668,24572,992,7817,398
1,1,1610,6204,20866,1092,3712,2078
1,3,987,17210,18887,1030,6792,1981
2,1,1332,14965,20672,2492,7585,2968
1,2,875,5716,4144,6346,6527,3342
2,1,167,3820,11747,7783,6803,4044
2,2,1412,2885,22781,1496,4694,1319
1,2,518,2634,21518,8852,5272,1779
1,1,1076,23618,12744,838,4541,2093
2,2,385,6270,2579,8746,4760,5522
2,2,1404,2490,23152,4621,808,5937
2,1,620,11912,24189,5740,3307,3814
2,3,1627,13073,17895,337,5435,2475
1,3,169,18348,19062,5347,2043,5512
2,1,1519,14220,11286,8975,8448,2478
1,3,1706,23279,4894,5765,6787,5183
1,1,1608,14509,7813,2028,2146,4445
2,3,1827,20634,13746,866,7533,4197
2,1,1498,14797,14310,277,7774,5584
2,2,973,8810,22237,7663,7281,1719
1,1,1024,7446,24032,8881,2876,3268
2,2,621,2413,14107,7652,696,2569
2,1,217,11444,5809,1937,2474,1019
2,3,1937,2607,8702,944,2344,4070
1,1,261,4077,3670,839,6621,3062
2,3,904,16936,16221,6700,2515,1553
2,2,1155,11106,2078,3063,9396,1856
2,1,959,2548,23099,3252,5045,679
1,2,1031,7572,10292,6485,5120,4972
2,1,424,9783,6866,6969,5520,4772
2,1,1246,3538,5542,320,8941,1261
2,1,1167,15693,21751,3640,617,5555
2,3,1099,8995,1339,7124,9441,954
1,1,1456,9837,4292,6402,6047,3413
2,3,1356,10844,4768,754,1467,5638
1,2,1943,10336,19438,426,3897,2911
2,3,1823,19999,18254,3501,8524,5624
1,3,1042,15231,19691,7520,7941,4247
2,1,527,19618,22154,7078,5799,1748
2,1,1776,1929,14060,1717,7641,1599
2,2,1210,5819,22561,7489,197,1190
1,2,308,3600,22300,5150,4442,2536
2,2,164,9728,13830,4310,9220,5820
1,1,519,19140,23387,3249,8294,5064
1,2,1506,496,11809,1084,8865,335
2,1,1477,3624,15569,3337,6008,6000
1,2,583,7235,17957,716,5595,2759
1,3,267,12428,22684,2273,4174,3100
2,1,292,23284,6211,3397,2657,1069
1,2,649,2079,15595,7935,7561,2014
1,2,1497,6452,1166,1793,5666,5468
1,3,1515,8291,17224,3072,9007,1177
2,1,613,6691,4346,8580,1571,1469
1,1,138,5710,21406,2166,804,962
2,3,832,6098,20172,9971,7913,2587
1,3,1233,9026,19416,7185,3243,5049
1,1,1062,6968,9936,9864,3900,3599
2,1,1068,8602,18258,3160,5532,3461
2,3,1418,11927,18974,8515,1759,3851
1,3,1764,7926,13563,3758,9226,2552
1,2,1406,16777,22116,907,6471,4723
2,3,1287,12682,7405,9044,334,2327
2,1,494,10421,9017,7657,8426,400
1,3,541,652,13985,5249,6932,2781
1,3,1158,18691,9340,1365,4012,987
1,3,294,11985,10350,1639,7903,3019
1,3,1363,20579,24240,9181,2336,3863
2,1,174,22576,21763,2544,5487,3090
1,1,563,368,11168,3835,4040,414
1,3,891,3625,16223,4157,6893,4665
1,1,190,7088,11051,7630,5056,131
1,1,393,9732,13190,9846,2035,3236
2,3,1792,6881,10494,8543,6030,4594
2,2,1331,24826,8611,3592,8836,60
1,3,1753,12097,5561,5794,7453,4579
1,2,687,5300,8525,8670,7747,3634
1,3,152,9949,939,4584,8001,2520
1,1,1372,12607,4502,4269,2080,2102
2,3,1254,2116,1969,6943,2906,4159
2,1,192,18404,12448,4860,1031,3792
2,3,1226,6946,13280,8077,6036,2437
1,3,1770,3838,10018,5990,5585,5798
2,3,1612,10862,8849,8541,3467,597
2,1,953,8439,515,4546,603,294
1,1,429,13423,24150,704,5633,2750
1,1,261,17006,9194,5183,5528,1999
1,2,935,3593,13271,3302,8280,3474
2,3,131,12106,17797,8687,3507,3202
2,1,801,7544,2229,3877,2262,3803
2,2,286,23211,16677,6018,7202,2652
1,1,112,7346,1265,4891,9474,2364
2,3,1314,18498,337,4607,9102,5189
2,1,998,20440,21626,1341,2364,5101
2,2,768,16645,10735,233,539,5363
1,1,1093,3290,9687,4595,2099,5991
2,1,1571,14767,10857,4014,8987,5280
1,3,1033,20705,18907,700,8391,2916
1,2,658,5103,8625,628,4839,3592
1,2,369,3551,21061,9840,7307,2901
2,3,271,16528,9127,8425,9560,5726
2,3,114,2349,2200,314,6092,1950
2,3,704,12035,16415,1181,8324,1994
2,3,565,9383,10157,5745,9739,5352
1,2,1058,2890,21165,5912,8164,5894
1,2,1087,15031,21838,2240,6870,1042
2,1,1633,3861,5138,8202,4443,2836
2,1,1030,22005,18636,7957,3526,708
1,3,1142,4301,19437,4973,2959,1440
2,3,811,19792,11642,6639,9401,5334
2,1,816,8375,24869,6029,498,431
1,3,1202,2045,10320,4086,1509,5377
1,2,447,22017,6935,5673,9579,1531
1,2,1250,20511,5843,6305,2658,4391
1,3,1898,22077,17476,4422,581,2187
1,2,2000,4473,8687,6211,4087,1890
1,2,259,20106,19232,6925,2143,3643
1,2,766,10335,22322,5963,8988,3798
1,2,1276,5996,4475,3810,4017,4503
1,2,1653,23440,1227,7312,9505,5943
1,1,1814,13750,5529,9017,2536,430
1,2,118,19150,11085,5678,2908,1574
1,1,158,1211,188,2733,2332,820
1,1,982,11709,5087,4612,1522,172
1,1,1486,6654,4842,2455,3884,3748
2,1,474,16497,10696,4661,344,5928
2,3,115,9166,7765,7470,6634,1465
1,1,1593,9100,23231,3760,2315,4963
2,1,424,14933,4389,7642,7095,3624
1,3,717,3675,247,1750,1325,718
1,2,238,11166,18501,254,7941,1304
2,2,1818,19166,4378,1239,1070,3382
1,1,665,12118,1323,1744,9294,521
2,3,1023,2645,20236,5292,6465,4508
2,1,1796,16736,14973,2890,8578,314
2,1,1968,12108,10649,2457,5705,4583
2,2,1426,24066,1608,5400,2477,510
1,3,707,8289,9634,1535,3470,4313
2,2,189,20380,16002,1105,3997,5235
2,2,228,24974,18998,4049,7326,4595
1,1,496,6105,393,8522,4411,5881
2,1,1164,19912,7384,659,4400,757
1,3,1966,17343,2011,3826,1397,3625
1,2,350,833,23110,9355,7350,5258
1,2,374,22800,1659,8595,8780,2484
2,1,1712,21562,7417,176,4886,3743
2,2,1712,19134,22331,9322,2555,4750
1,2,1346,9286,9879,9684,2088,3811
1,2,1239,17605,10202,8011,1177,2729
1,3,392,11820,20205,1370,6853,3848
2,1,1382,23762,10939,1951,7457,378
1,1,1561,14795,20632,8033,2495,5840
1,2,1386,5833,20800,7822,3717,4918
1,2,875,5711,19623,5025,8165,3296
1,3,1040,13482,9999,5823,6271,3893
1,1,1347,17879,14448,7483,137,1710
2,3,760,14832,22389,923,7659,5124
2,2,1178,9656,3675,729,7367,5170
2,2,999,5324,15511,5401,5930,3668
2,2,1521,16095,15645,8577,8508,1201
1,1,144,14973,6732,2488,2094,715
2,2,138,24513,18055,3832,7516,2241
1,3,1802,4080,22540,6921,7858,229
1,3,1067,7531,602,5007,8210,2243
1,2,156,11388,18221,9973,1568,4259
1,3,1147,9946,12784,9642,4808,4473
2,3,582,9843,12347,5682,4476,416
2,1,1920,3099,6399,2219,2982,2915
2,3,1003,8361,624,2270,1548,526
1,3,1960,23389,12826,2576,7309,853
1,1,898,10216,14316,9746,4422,1396
1,3,219,21426,19308,8042,788,312
2,1,1403,11384,13589,719,1624,4931
1,3,880,11341,9530,5249,9139,3223
2,2,1127,23231,8293,5541,237,285
1,1,1726,6497,11943,7933,7028,2351
2,1,251,23567,17682,2352,6143,2037
2,1,1495,1603,1351,9135,4030,308
1,3,716,4619,2376,5805,5280,5857
2,2,928,16349,12056,2520,9707,5523
2,2,1751,14915,3157,5202,9503,4110
1,2,1146,20809,7973,5697,3138,1809
1,3,503,12869,4839,6304,1598,4813
1,2,1860,24261,11741,6708,253,2652
2,2,1723,10933,20886,1637,5164,4766
1,1,1788,21890,8590,9204,5175,5717
1,3,1299,7603,12258,9658,5201,3189
2,3,1826,12323,22520,9691,7234,3965
1,1,1032,8618,6312,566,6074,1912
2,3,742,3009,8938,6450,1153,468
1,3,1864,4992,18148,4623,4554,4170
1,1,1328,12701,13810,6780,1426,590
2,1,941,9231,23260,7749,7176,4028
1,1,1308,24616,14136,3331,7018,2210
2,2,1467,10518,24154,6067,5698,4619
2,3,188,11255,18105,4498,3707,3075
2,2,794,18461,16120,1443,7820,2443
1,1,751,4841,729,7203,1490,4570
2,2,1549,7764,1968,4731,9894,3719
1,2,442,15849,5286,3666,1117,3221
2,2,637,22003,7563,5561,7553,3999
1,2,303,17731,18003,8502,7303,1670
2,1,1082,9735,16587,6880,6166,3960
1,1,107,13315,7164,731,9827,4524
2,1,1775,13935,19647,6315,9130,2319
1,3,228,22925,21219,1286,9119,680
2,2,1803,17030,18022,7737,2517,411
2,1,1935,282,22017,2287,7738,3299
1,2,249,2035,11393,3485,9276,5167
2,2,1433,19423,7132,1382,2660,2516
2,2,488,22560,12609,9422,9747,4981
2,2,292,16534,16971,5787,9096,4054
1,1,889,11569,12639,150,9618,3503
1,1,1353,1902,1756,5988,5683,1627
2,2,1534,3063,18740,1476,5080,4927
1,2,172,17488,4270,7079,315,5431
2,2,1118,20242,12683,2159,6028,2426
1,3,168,16546,2269,1833,9706,5003
2,1,1119,22258,7500,1325,1151,4362
2,2,1557,21682,19896,2077,3155,5628
1,1,1050,1780,20578,9607,5610,2688
2,2,1192,10659,8754,8710,1017,1715
2,2,1690,1080,2596,7350,5705,3238
1,3,1550,16894,14046,9206,3891,1891
1,3,1268,7291,1561,6503,2423,3583
2,2,239,1659,23644,7007,1721,5821
2,2,1689,9467,18212,5164,7375,4420
1,3,980,15046,10690,1465,4719,3716
1,1,1833,3148,18975,2862,6987,2285
1,3,955,4918,8236,9316,217,725
2,3,1988,20014,10533,4408,7836,3189
1,1,397,19742,3030,5186,4830,4623
1,1,192,18041,6289,4127,6823,3200
2,1,456,7163,7079,2388,7671,5911
1,1,1955,18661,3712,1054,9595,5350
1,3,604,12948,9089,5168,3447,1479
1,2,1244,22591,8138,7454,7449,384
2,2,1162,10868,4850,8492,3038,444
2,3,1698,22762,12955,4279,3709,1933
1,3,868,19266,20985,3354,2188,2562
1,1,1705,8905,2791,6451,3396,5279
1,2,200,1509,23612,9569,8738,185
2,1,1986,23578,7776,7707,4545,3061
1,1,1910,7185,7183,796,9246,4380
2,1,1737,3127,1956,1061,8904,4481
1,3,162,10085,17793,465,2197,3604
1,1,450,7029,5974,312,6318,2282
1,3,1397,9323,18049,1468,5440,4475
1,3,1084,8998,14119,1346,7110,3309
1,1,1161,21941,656,663,2996,3574
2,1,1701,17398,10877,9761,5337,4367
1,3,793,10654,511,8163,4868,4835
1,3,225,13452,5503,4092,5685,548
2,1,1115,1868,13011,2833,6053,5809
1,2,816,766,11256,9102,1280,4865
1,1,1762,9016,17604,609,818,5331
1,3,1345,10352,712,4983,9892,3515
1,1,1183,17767,712,455,5691,1275
2,3,540,13789,10425,7252,110,2912
2,2,1143,1019,4185,4326,9923,5964
1,1,514,9805,14887,6733,7896,4371
1,3,1279,1122,19485,4771,2953,5973
2,3,951,7976,23920,4506,8659,5119
1,3,662,8576,5475,6536,3132,3334
1,1,155,19460,19981,883,6483,1881
1,2,1517,8815,6744,373,8666,5434
1,2,755,17938,7852,9925,1048,4450
1,2,584,515,8691,3984,2025,2462
2,2,575,21835,24950,1304,5546,5764
1,2,1344,4250,14137,7825,9099,1491
2,1,748,19704,24372,9557,1261,5183
2,3,760,17571,14924,3381,3763,2100
1,1,599,19873,18142,9019,8875,5312
2,2,1916,15854,6637,6088,4672,5524
1,2,1767,24618,7787,6010,4961,5458
2,3,1169,668,5846,6218,8437,4763
2,3,658,9098,10305,673,160,233
2,1,1928,14052,9094,2566,6738,2095
1,3,434,11654,21082,9562,4471,3655
2,2,1500,24868,11613,115,9477,260
2,2,1656,19615,2369,8831,9981,3351
2,2,1651,5247,9846,9702,3436,1447
2,2,1286,17536,13981,8235,3292,4097
1,2,1245,14838,3329,8671,3517,5552
2,3,589,4770,1906,2477,2408,614
2,1,833,6660,4636,1252,2015,5312
1,2,1813,1879,8337,6520,7716,5571
2,3,339,22117,8540,4998,773,798
2,3,297,17821,17794,3351,8035,4500
1,3,719,11856,6283,7078,6755,3425
1,1,675,6979,6831,1010,4884,4404
2,1,1477,17895,7033,3910,1447,1783
1,3,1409,9780,5520,5157,4993,1097
1,2,1366,6204,22790,5347,961,3985
2,1,1525,13310,21900,7527,5042,3258
1,3,365,3689,2934,9336,9468,3433
2,2,556,16292,15927,2739,106,1598
2,1,1466,10485,17556,7845,2636,2626
1,1,428,16895,1673,1073,8798,3441
1,3,946,16097,13364,2250,9605,2838
2,2,1291,24351,21550,5360,2133,1593
1,1,342,22937,9504,757,4650,848
1,2,860,2525,13201,1479,7395,1727
2,3,897,17432,8288,2195,3457,4408
1,2,1059,10466,6488,5946,2339,2643
2,2,947,18301,2175,6158,256,1929
1,1,384,15845,14413,7054,636,2929
1,3,627,17841,8375,2570,8338,121
1,2,826,8272,6491,2034,3136,4456
1,2,1650,13984,5707,7948,6962,1037
2,1,1294,17172,4960,1880,4706,4618
1,2,1348,857,17906,4820,7951,4550
2,1,753,6644,2303,2360,2408,151
2,1,686,11805,21724,4480,9416,5619
2,2,1097,1908,6961,4071,4637,5934
1,1,1016,24905,4671,3217,7475,4423
1,1,1487,15028,4468,240,3786,1390
2,2,389,10237,11311,9119,4764,3903
2,2,549,24915,20513,3029,1252,3169
1,3,1684,6555,23880,9762,5427,1635
1,2,847,20279,22363,5831,3354,3116
2,3,1151,23785,3201,8086,9809,3664
2,3,1436,19517,3539,2170,2655,4385
2,3,1770,11139,4156,8486,978,492
2,3,897,3779,16800,8298,4911,770
1,1,1133,18873,817,8242,4543,3595
1,3,164,14664,1893,6251,9579,3050
2,3,608,14283,23091,6780,6545,4011
1,1,1049,22424,12697,3485,4849,5340
1,2,556,14319,9450,6115,7814,4185
2,3,1794,14832,24164,7353,2802,4662
2,1,747,15408,14041,1395,4786,3677
1,3,346,5155,7523,2862,945,521
2,1,377,14457,20494,2901,2481,5358
2,1,1190,17001,21495,5065,7248,3590
1,1,1908,14575,12270,4010,8880,5917
2,1,1042,10882,22591,6520,2246,800
2,2,898,20072,22560,4724,6886,5028
1,1,1409,23426,21662,2680,4472,3852
2,1,2000,10050,427,2146,5029,2056
2,1,1034,11015,10643,9499,1139,2156
2,1,1110,24143,21825,1315,2156,4090
2,3,1194,2651,20841,2922,2670,5391
1,3,220,17748,9128,3717,1343,814
1,2,646,16800,14583,1365,1737,4700
1,1,1430,18435,10247,3614,5662,5686
1,2,398,24452,13323,9447,5638,1452
2,2,1850,24966,4964,2648,3271,1481
2,1,1274,17333,14744,1150,5010,5484
1,1,633,2492,4163,384,2564,2075
1,3,1591,5469,10446,1622,6733,4664
2,2,598,2819,7807,4348,5386,3247
1,1,224,5920,11568,2448,2875,2317
2,2,1347,24602,3531,4483,7884,434
1,3,1017,17841,16517,6080,8497,2482
1,3,254,440,5116,1105,7074,1227
1,3,1706,598,15605,1481,5623,5297
1,3,708,13668,3038,3771,9079,1826
2,3,1707,21803,5413,6971,8480,3651
2,2,1197,13409,3367,6471,4271,3737
1,1,763,20552,1011,4044,4616,669
2,1,1905,24727,21548,5247,6339,4498
1,2,1366,17729,12649,3249,4439,4935
2,2,1026,13861,18001,3877,6769,483
1,2,1058,13376,7793,1876,1624,1223
1,1,1787,19228,21298,9006,2237,1626
1,2,735,8016,17723,7778,1165,385
2,1,1434,21389,15205,4417,1835,4661
1,3,1008,9304,21789,2782,1711,4449
2,3,236,19479,1954,5241,2419,5870
2,1,1086,13328,646,3425,7492,287
2,1,1758,2194,3949,3053,5452,2926
1,2,435,6295,4287,9243,3164,1834
1,3,1834,23368,11452,4468,3262,1264
1,2,1817,10463,668,9164,5981,5394
1,2,395,6788,22516,6791,1135,1450
1,2,301,23801,12353,800,5280,509
1,1,1588,13104,3139,5220,9854,5707
2,2,1209,16654,20903,2339,4887,3225
1,3,1557,11849,18179,2937,8169,3315
2,1,908,12297,3605,3227,4693,1212
2,2,748,11230,22700,266,8544,2252
1,1,1487,18967,7604,8656,9791,924
2,3,868,12314,8245,7928,6996,1186
2,2,1456,3367,9696,2719,8469,5956
1,1,1949,17557,4279,8378,9629,4853
2,1,1347,2002,11465,7845,3292,2672
2,1,430,1532,22228,3032,4836,3889
2,1,1643,6031,7226,4665,1419,4155
1,3,1851,15165,15739,1192,9579,5701
1,3,393,12491,11615,5211,4889,899
1,2,331,13774,12943,1133,3907,5740
2,3,1061,24721,4723,8616,5874,1757
2,1,694,23554,2903,5171,4394,5375
1,1,116,265,13136,8633,7835,5793
1,2,1884,21611,324,1200,912,1120
2,1,1760,15671,22800,5366,5486,2764
2,2,1278,20170,3257,2020,9847,5265
1,2,1278,17103,11446,5093,774,124
2,1,522,15388,17002,3330,2451,2177
2,3,1935,22853,14185,2762,1349,64
2,3,1906,15513,11859,9351,5077,3890
2,2,848,20440,16956,279,5411,475
1,1,592,5510,22787,6215,7235,2707
2,1,848,18682,6504,7255,5001,4731
1,2,1320,8790,15256,6181,7602,4211
1,2,1416,15804,3219,2036,6034,3200
2,1,1950,21790,9872,5229,4602,1982
1,3,147,21156,15480,8227,7049,2181
1,3,244,13473,7083,4845,5285,3590
2,3,836,19970,23867,9423,6796,3788
1,2,711,10756,5048,7694,3662,3883
2,1,814,9727,6913,4764,8668,1115
2,2,1942,9698,19986,1683,2835,4260
2,2,1187,12489,6855,6750,3371,5621
2,2,218,12198,7640,4193,7361,1229
1,2,1062,14459,4291,1916,2228,4188
2,2,847,912,21177,4349,5674,2435
1,3,279,20241,10043,2756,8279,5980
2,1,1315,23966,23706,3721,6472,2812
2,1,985,23808,612,7747,3410,908
1,1,987,21382,18499,8172,5184,4485
1,2,928,24289,7259,2591,6058,5080
1,2,1095,1341,9090,2142,5974,4149
1,3,364,2780,12227,1294,9945,4481
2,2,900,20303,13943,8915,4858,452
2,1,1019,3579,15850,7936,7018,2374
1,1,568,24107,19606,5298,6689,5100
2,2,1522,5782,1625,7990,9007,2454
2,1,1973,8664,4936,8162,6177,3691
1,1,682,17329,17839,3375,5927,925
1,3,1333,13319,15171,4851,2950,2944
2,2,1138,16876,15009,860,5650,4744
1,3,1736,4369,11006,8394,683,5348
1,3,1901,795,23424,8686,5287,4055
2,3,371,13009,23297,330,6050,5006
1,3,1746,8498,10216,189,7054,654
1,3,1433,18997,6347,5819,2831,1573
1,3,391,20609,3865,2830,2421,2525
1,2,240,164,14487,4810,7929,345
1,1,225,15682,21104,980,8074,2322
1,1,287,8010,24566,8422,440,5177
2,1,1845,6091,17903,7204,8632,3289
1,1,1785,16247,23570,1300,9818,4553
2,1,1142,4406,479,6416,3035,3736
1,1,563,11518,24724,3733,1913,2129
1,1,1085,3990,10101,4732,3479,858
2,1,1928,9367,21404,3851,2135,4099
2,3,1436,8709,8346,1975,5389,3333
1,1,954,1498,13404,9188,6051,1873
2,3,804,2507,24115,1162,8132,355
2,3,590,5007,6188,4221,5281,2561
1,1,1375,15021,20508,2468,9719,1738
2,2,449,7948,22790,5534,6353,4358
1,2,1760,9506,9831,9864,2603,3940
1,3,144,14120,20813,6548,7171,291
1,3,1337,11519,12325,6239,2101,4002
2,1,627,18023,14597,8674,5392,3664
2,3,218,10160,1811,4314,5189,3598
1,3,924,24394,8779,2700,5966,3945
1,1,1387,4952,6655,1409,7332,1608
1,1,1655,18249,9971,6030,5549,2058
2,1,1596,13643,14900,3460,8005,5231
2,2,1456,14292,11726,4728,2804,99
1,3,327,7463,21335,6513,7081,4603
1,1,459,12508,15185,3027,398,367
2,1,969,8865,1745,4220,7511,2494
